,Fighter1,Fighter2,outcome,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
1372,Frankie Saenz,Sirwan Kakai,1,0.4200000762939453,-1.5400002002716064,0.06000000238418579,-0.07999998331069946,-2.200000047683716,-0.09999999403953552,-0.20999997854232788,0.10000000149011612
1373,Jonathan Wilson,Chris Dempsey,1,0.6700000762939453,2.830000162124634,0.1599999964237213,-0.0899999737739563,-2.2699999809265137,0.7699999809265137,0.6399999856948853,0.0
1374,Roman Salazar,Marlon Vera,0,-1.119999885559082,-1.1400001049041748,-0.030000001192092896,0.050000011920928955,1.309999942779541,-0.12000000476837158,-0.24000000953674316,-1.2000000476837158
1375,Scott Holtzman,Anthony Christodoulou,1,2.1399998664855957,-2.4700000286102295,0.24000000953674316,0.11000001430511475,3.0799999237060547,0.6000000238418579,0.16999998688697815,0.30000001192092896
1376,Ronda Rousey,Bethe Correia,1,-0.1700000762939453,0.26999998092651367,0.06999999284744263,-0.1499999761581421,5.78000020980835,0.4300000071525574,-0.3500000238418579,4.800000190734863
1377,Mauricio Rua,Rogerio Nogueira,1,1.4000000953674316,0.4099998474121094,0.16999998688697815,-0.04000002145767212,1.4800000190734863,0.03999999165534973,-0.18000000715255737,0.09999996423721313
1378,Glaico Franca,Fernando Bruno,1,0.5999999046325684,1.6800000667572021,0.030000001192092896,-0.009999990463256836,0.6600000858306885,0.19999998807907104,0.19999998807907104,-0.19999998807907104
1379,Reginaldo Vieira,Dileno Lopes,1,1.3900001049041748,-0.4399998188018799,0.03999999165534973,0.06000000238418579,-0.5299999713897705,-0.03999999165534973,-0.75,-0.699999988079071
1380,Minotauro Nogueira,Stefan Struve,0,-1.2999999523162842,-1.630000114440918,-0.04000002145767212,0.07000002264976501,0.6999999284744263,-0.21000000834465027,-0.22999995946884155,0.40000009536743164
1381,Soa Palelei,Antonio Silva,0,-0.4200000762939453,-0.4099998474121094,0.12000000476837158,-0.02000001072883606,1.380000114440918,0.18000000715255737,0.0,-0.800000011920929
1382,Claudia Gadelha,Jessica Aguilar,1,-2.440000057220459,-2.0900001525878906,-0.09000000357627869,-0.019999980926513672,2.6100001335144043,0.23999997973442078,0.2499999701976776,1.0
1383,Neil Magny,Demian Maia,0,2.059999942779541,0.08999991416931152,0.06000000238418579,-0.07999998331069946,0.3299999237060547,0.2199999988079071,-0.04999995231628418,-0.699999988079071
1384,Patrick Cummins,Rafael Feijao,1,1.570000171661377,-0.2799999713897705,-0.029999971389770508,0.06000000238418579,4.019999980926514,0.019999980926513672,-0.32999998331069946,0.0
1385,Nordine Taleb,Warlley Alves,0,0.40000009536743164,-1.7200000286102295,0.07000002264976501,0.18000000715255737,1.340000033378601,0.3499999940395355,-0.010000050067901611,-1.0
1386,Iuri Alcantara,Leandro Issa,1,0.6800000667572021,-0.6600000858306885,0.07999998331069946,-0.07999998331069946,-0.9800001382827759,0.39000001549720764,0.10000002384185791,-0.5000000596046448
1387,Clint Hester,Vitor Miranda,0,-0.03000020980834961,0.5499999523162842,-0.04000002145767212,-0.009999990463256836,0.5499999523162842,-0.050000011920928955,0.09000003337860107,0.0
1388,Guido Cannetti,Hugo Viana,1,-0.37999987602233887,-1.5200001001358032,0.12999999523162842,-0.019999980926513672,2.299999952316284,0.4399999976158142,0.3100000023841858,0.4000000059604645
1389,Renan Barao,TJ Dillashaw,0,-1.500000238418579,0.869999885559082,-0.050000011920928955,-0.08000004291534424,-0.3400000333786011,0.06000000238418579,0.07999998331069946,-0.5
1390,Miesha Tate,Jessica Eye,1,-1.4900001287460327,-0.6099998950958252,0.04999998211860657,-0.0899999737739563,1.4700000286102295,-0.3999999761581421,-0.08000004291534424,0.800000011920929
